video id,avg rating,description,encoding,genres,mpaa rating,preview thumbnails,release date,tags,title,type,url,user id
8116c7b8-0ef2-11e5-91e4-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama','Horror','Thriller','Crime Fiction'}",R,{},1991-01-30,{},"The Silence of the Lambs",Trailer,"http://www.youtube.com/watch?v=ZWCAf-xLV2k",63d97ca8-4630-4bad-805f-3bda997f3dcc
879c3454-0ef2-11e5-bccb-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Hip hop film','Stand-up comedy','Documentary film','Music','Concert film','Comedy'}",R,{},2006-03-03,{},"Dave Chappelle\'s Block Party",Trailer,"http://www.youtube.com/watch?v=w7DA-xtN6nU",63d97ca8-4630-4bad-805f-3bda997f3dcc
87a97257-0ef2-11e5-9272-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama','Sports','Romance Film'}",R,{},2008-09-05,{},"The Wrestler",Trailer,"http://www.youtube.com/watch?v=61-GFxjTyV0",63d97ca8-4630-4bad-805f-3bda997f3dcc
87bbeb85-0ef2-11e5-9cfd-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Biographical film','Concert film','Documentary film','Music'}",PG-13,{},2006-06-21,{},"Leonard Cohen: I\'m Your Man",Trailer,"http://www.youtube.com/watch?v=ryEtbRNJTgs",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a620bc0-0ef2-11e5-92ce-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Biographical film','Drama','Music','Historical drama'}",R,{},2013-09-07,{},"Jimi: All Is by My Side",Trailer,"https://www.youtube.com/watch?v=S-KPOxqMazI",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a5338c0-0ef2-11e5-b51b-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama','Thriller','Crime Fiction'}",R,{},2012-09-03,{},"A Hijacking",Trailer,"http://www.youtube.com/watch?v=IyMegiVnYwM",63d97ca8-4630-4bad-805f-3bda997f3dcc
87ab6021-0ef2-11e5-bfb7-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama','Teen film','Comedy-drama','Coming of age','Indie film','Comedy'}",R,{},2007-01-19,{},"Rocket Science",Trailer,"http://youtu.be/yjRSX-s_GIs",63d97ca8-4630-4bad-805f-3bda997f3dcc
877a8f54-0ef2-11e5-bf13-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Biographical film','Drama'}",PG-13,{},2006-12-15,{},"The Pursuit of Happyness",Trailer,"http://www.youtube.com/watch?v=_xcZTtlGweQ",63d97ca8-4630-4bad-805f-3bda997f3dcc
85786cd9-0ef2-11e5-9f07-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama','Fantasy','Science Fiction','Romance Film'}",R,{},2004-05-20,{},"2046",Trailer,"http://www.sonyclassics.com/2046/trailer300k.html",63d97ca8-4630-4bad-805f-3bda997f3dcc
7bcdeec7-0ef2-11e5-869d-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Mystery','Horror','Psychological thriller','Indie film','Thriller'}",R,{},1973-03-27,{},"Sisters",Trailer,"http://www.youtube.com/watch?v=XvsixXqC-gM",63d97ca8-4630-4bad-805f-3bda997f3dcc
878ccb6b-0ef2-11e5-8e5a-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Comedy'}",PG-13,{},2009-09-04,{},"All About Steve",Trailer,"http://www.foxfrance.com/cinema/all_about_steve-20118/20118/",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a545687-0ef2-11e5-b8a8-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama','Action Film','Thriller','Crime Fiction'}",PG-13,{},2013-01-20,{},"The East",Trailer,"http://www.youtube.com/embed/MNfTdXkNNCg",63d97ca8-4630-4bad-805f-3bda997f3dcc
